Project: C:\Downloads\c1\11.gmid
Log begin...
Now time is:12/4/2015 9:57:55 PM

Left Longitude  input= 24.196755
Right Longitude input= 24.303555
Top Latitude    input= 45.699472
Bottom Latitude input= 45.628272

X1 = 74345
X2 = 74384
Y1=46787
Y2=46824

Left Longitude  download=24.1946411132813
Right Longitude download=24.3045043945313
Top Latitude    download=45.7004248569367
Bottom Latitude download=45.6274842086862

All images' scope information are saved to C:\Downloads\c1\11_list.txt

Total count of images would be downloaded: 1520

Download threads count: 8

Zoom level: 17

path: C:\Downloads\c1\

FileNameFormat=1

Start downloading...
--------------------------------
Thread6:seq=5, file=gs_74345_46820_17.jpg ->ok!
Thread2:seq=1, file=gs_74345_46824_17.jpg ->ok!
Thread3:seq=2, file=gs_74345_46823_17.jpg ->ok!
Thread1:seq=8, file=gs_74345_46817_17.jpg ->ok!
Thread8:seq=7, file=gs_74345_46818_17.jpg ->ok!
Thread5:seq=4, file=gs_74345_46821_17.jpg ->ok!
Thread7:seq=6, file=gs_74345_46819_17.jpg ->ok!
Thread4:seq=3, file=gs_74345_46822_17.jpg ->ok!
Thread2:seq=9, file=gs_74345_46816_17.jpg ->ok!
Thread3:seq=10, file=gs_74345_46815_17.jpg ->ok!
Thread6:seq=13, file=gs_74345_46812_17.jpg ->ok!
Thread8:seq=15, file=gs_74345_46810_17.jpg ->ok!
Thread4:seq=11, file=gs_74345_46814_17.jpg ->ok!
Thread7:seq=14, file=gs_74345_46811_17.jpg ->ok!
Thread5:seq=12, file=gs_74345_46813_17.jpg ->ok!
Thread1:seq=16, file=gs_74345_46809_17.jpg ->ok!
Thread2:seq=17, file=gs_74345_46808_17.jpg ->ok!
Thread6:seq=21, file=gs_74345_46804_17.jpg ->ok!
Thread3:seq=18, file=gs_74345_46807_17.jpg ->ok!
Thread8:seq=23, file=gs_74345_46802_17.jpg ->ok!
Thread4:seq=19, file=gs_74345_46806_17.jpg ->ok!
Thread7:seq=22, file=gs_74345_46803_17.jpg ->ok!
Thread5:seq=20, file=gs_74345_46805_17.jpg ->ok!
Thread1:seq=24, file=gs_74345_46801_17.jpg ->ok!
Thread2:seq=25, file=gs_74345_46800_17.jpg ->ok!
Thread6:seq=29, file=gs_74345_46796_17.jpg ->ok!
Thread3:seq=26, file=gs_74345_46799_17.jpg ->ok!
Thread8:seq=31, file=gs_74345_46794_17.jpg ->ok!
Thread4:seq=27, file=gs_74345_46798_17.jpg ->ok!
Thread7:seq=30, file=gs_74345_46795_17.jpg ->ok!
Thread5:seq=28, file=gs_74345_46797_17.jpg ->ok!
Thread1:seq=32, file=gs_74345_46793_17.jpg ->ok!
Thread2:seq=33, file=gs_74345_46792_17.jpg ->ok!
Thread6:seq=37, file=gs_74345_46788_17.jpg ->ok!
Thread3:seq=34, file=gs_74345_46791_17.jpg ->ok!
Thread4:seq=35, file=gs_74345_46790_17.jpg ->ok!
Thread8:seq=39, file=gs_74346_46824_17.jpg ->ok!
Thread7:seq=38, file=gs_74345_46787_17.jpg ->ok!
Thread1:seq=40, file=gs_74346_46823_17.jpg ->ok!
Thread5:seq=36, file=gs_74345_46789_17.jpg ->ok!
Thread2:seq=41, file=gs_74346_46822_17.jpg ->ok!
Thread6:seq=45, file=gs_74346_46818_17.jpg ->ok!
Thread3:seq=42, file=gs_74346_46821_17.jpg ->ok!
Thread4:seq=43, file=gs_74346_46820_17.jpg ->ok!
Thread8:seq=47, file=gs_74346_46816_17.jpg ->ok!
Thread7:seq=46, file=gs_74346_46817_17.jpg ->ok!
Thread1:seq=48, file=gs_74346_46815_17.jpg ->ok!
Thread5:seq=44, file=gs_74346_46819_17.jpg ->ok!
Thread2:seq=49, file=gs_74346_46814_17.jpg ->ok!
Thread6:seq=53, file=gs_74346_46810_17.jpg ->ok!
Thread3:seq=50, file=gs_74346_46813_17.jpg ->ok!
Thread4:seq=51, file=gs_74346_46812_17.jpg ->ok!
Thread8:seq=55, file=gs_74346_46808_17.jpg ->ok!
Thread7:seq=54, file=gs_74346_46809_17.jpg ->ok!
Thread1:seq=56, file=gs_74346_46807_17.jpg ->ok!
Thread5:seq=52, file=gs_74346_46811_17.jpg ->ok!
Thread2:seq=57, file=gs_74346_46806_17.jpg ->ok!
Thread6:seq=61, file=gs_74346_46802_17.jpg ->ok!
Thread4:seq=59, file=gs_74346_46804_17.jpg ->ok!
Thread3:seq=58, file=gs_74346_46805_17.jpg ->ok!
Thread8:seq=63, file=gs_74346_46800_17.jpg ->ok!
Thread7:seq=62, file=gs_74346_46801_17.jpg ->ok!
Thread1:seq=64, file=gs_74346_46799_17.jpg ->ok!
Thread5:seq=60, file=gs_74346_46803_17.jpg ->ok!
Thread2:seq=65, file=gs_74346_46798_17.jpg ->ok!
Thread6:seq=69, file=gs_74346_46794_17.jpg ->ok!
Thread3:seq=66, file=gs_74346_46797_17.jpg ->ok!
Thread4:seq=67, file=gs_74346_46796_17.jpg ->ok!
Thread8:seq=71, file=gs_74346_46792_17.jpg ->ok!
Thread7:seq=70, file=gs_74346_46793_17.jpg ->ok!
Thread5:seq=68, file=gs_74346_46795_17.jpg ->ok!
Thread1:seq=72, file=gs_74346_46791_17.jpg ->ok!
Thread6:seq=77, file=gs_74347_46824_17.jpg ->ok!
Thread2:seq=73, file=gs_74346_46790_17.jpg ->ok!
Thread4:seq=75, file=gs_74346_46788_17.jpg ->ok!
Thread8:seq=79, file=gs_74347_46822_17.jpg ->ok!
Thread7:seq=78, file=gs_74347_46823_17.jpg ->ok!
Thread3:seq=74, file=gs_74346_46789_17.jpg ->ok!
Thread1:seq=80, file=gs_74347_46821_17.jpg ->ok!
Thread5:seq=76, file=gs_74346_46787_17.jpg ->ok!
Thread6:seq=85, file=gs_74347_46816_17.jpg ->ok!
Thread2:seq=81, file=gs_74347_46820_17.jpg ->ok!
Thread3:seq=82, file=gs_74347_46819_17.jpg ->ok!
Thread4:seq=83, file=gs_74347_46818_17.jpg ->ok!
Thread8:seq=87, file=gs_74347_46814_17.jpg ->ok!
Thread7:seq=86, file=gs_74347_46815_17.jpg ->ok!
Thread1:seq=88, file=gs_74347_46813_17.jpg ->ok!
Thread5:seq=84, file=gs_74347_46817_17.jpg ->ok!
Thread6:seq=93, file=gs_74347_46808_17.jpg ->ok!
Thread2:seq=89, file=gs_74347_46812_17.jpg ->ok!
Thread3:seq=90, file=gs_74347_46811_17.jpg ->ok!
Thread8:seq=95, file=gs_74347_46806_17.jpg ->ok!
Thread7:seq=94, file=gs_74347_46807_17.jpg ->ok!
Thread4:seq=91, file=gs_74347_46810_17.jpg ->ok!
Thread1:seq=96, file=gs_74347_46805_17.jpg ->ok!
Thread5:seq=92, file=gs_74347_46809_17.jpg ->ok!
Thread6:seq=101, file=gs_74347_46800_17.jpg ->ok!
Thread2:seq=97, file=gs_74347_46804_17.jpg ->ok!
Thread3:seq=98, file=gs_74347_46803_17.jpg ->ok!
Thread8:seq=103, file=gs_74347_46798_17.jpg ->ok!
Thread7:seq=102, file=gs_74347_46799_17.jpg ->ok!
Thread4:seq=99, file=gs_74347_46802_17.jpg ->ok!
Thread1:seq=104, file=gs_74347_46797_17.jpg ->ok!
Thread5:seq=100, file=gs_74347_46801_17.jpg ->ok!
Thread6:seq=109, file=gs_74347_46792_17.jpg ->ok!
