Project: C:\Downloads\c1\71.gmid
Log begin...
Now time is:12/4/2015 9:57:57 PM

Left Longitude  input= 24.196755
Right Longitude input= 24.303555
Top Latitude    input= 45.272272000000015
Bottom Latitude input= 45.20107200000002

X1 = 74345
X2 = 74384
Y1=47009
Y2=47046

Left Longitude  download=24.1946411132813
Right Longitude download=24.3045043945313
Top Latitude    download=45.2729536137223
Bottom Latitude download=45.1994576864416

All images' scope information are saved to C:\Downloads\c1\71_list.txt

Total count of images would be downloaded: 1520

Download threads count: 8

Zoom level: 17

path: C:\Downloads\c1\

FileNameFormat=1

Start downloading...
--------------------------------
Thread7:seq=6, file=gs_74345_47041_17.jpg ->ok!
Thread6:seq=5, file=gs_74345_47042_17.jpg ->ok!
Thread2:seq=1, file=gs_74345_47046_17.jpg ->ok!
Thread8:seq=7, file=gs_74345_47040_17.jpg ->ok!
Thread4:seq=3, file=gs_74345_47044_17.jpg ->ok!
Thread1:seq=8, file=gs_74345_47039_17.jpg ->ok!
Thread5:seq=4, file=gs_74345_47043_17.jpg ->ok!
Thread3:seq=2, file=gs_74345_47045_17.jpg ->ok!
Thread6:seq=13, file=gs_74345_47034_17.jpg ->ok!
Thread8:seq=15, file=gs_74345_47032_17.jpg ->ok!
Thread4:seq=11, file=gs_74345_47036_17.jpg ->ok!
Thread7:seq=14, file=gs_74345_47033_17.jpg ->ok!
Thread2:seq=9, file=gs_74345_47038_17.jpg ->ok!
Thread5:seq=12, file=gs_74345_47035_17.jpg ->ok!
Thread3:seq=10, file=gs_74345_47037_17.jpg ->ok!
Thread1:seq=16, file=gs_74345_47031_17.jpg ->ok!
Thread8:seq=23, file=gs_74345_47024_17.jpg ->ok!
Thread2:seq=17, file=gs_74345_47030_17.jpg ->ok!
Thread4:seq=19, file=gs_74345_47028_17.jpg ->ok!
Thread3:seq=18, file=gs_74345_47029_17.jpg ->ok!
Thread5:seq=20, file=gs_74345_47027_17.jpg ->ok!
Thread6:seq=21, file=gs_74345_47026_17.jpg ->ok!
Thread7:seq=22, file=gs_74345_47025_17.jpg ->ok!
Thread1:seq=24, file=gs_74345_47023_17.jpg ->ok!
Thread2:seq=25, file=gs_74345_47022_17.jpg ->ok!
Thread8:seq=31, file=gs_74345_47016_17.jpg ->ok!
Thread7:seq=30, file=gs_74345_47017_17.jpg ->ok!
Thread6:seq=29, file=gs_74345_47018_17.jpg ->ok!
Thread3:seq=26, file=gs_74345_47021_17.jpg ->ok!
Thread5:seq=28, file=gs_74345_47019_17.jpg ->ok!
